Year,Platform,Yearly_Total_Sales,Avg_Sales_per_game,Min_Sales_per_game,Max_Sales_per_game
2020,PS4,10300000,2575000,0,10300000
2019,PS4,570000,57000,0,190000
2018,PS4,100850000,730797.10144927539,10000,13940000
2018,XOne,,,,
2017,PS4,106390000,718851.35135135159,10000,13400000
2017,XOne,3030000,1010000,10000,3000000
2016,PS4,106550000,942920.35398230085,10000,10940000
2016,XOne,22700000,527906.97674418625,10000,2650000
2015,PS4,105510000,1352692.307692307,30000,15090000
2015,XOne,38810000,970250,20000,4480000
2014,PS4,89740000,2086976.7441860472,10000,19390000
2014,XOne,39740000,1241875,80000,5480000
2013,PS4,22560000,2256000,160000,4170000
2013,XOne,11340000,1260000,190000,2920000
