Year,Platform,Avg_Critic_Score,Min_Critic_Score,Max_Critic_Score,Avg_User_Score,Min_User_Score,Max_User_Score
2020,PS4,29.92,8.5,93,7.45,5.7,8.2
2019,PS4,7.49,6.5,8.6,4.91,1.1,7.4
2018,PS4,7.14,2.8,9.8,6.16,1.4,10
2018,XOne,7.24,3.4,9.7,6.26,1.1,8.3
2017,PS4,7.21,2.6,9.3,6.65,1.7,8.9
2017,XOne,7.38,4.2,8.9,6.36,1.5,9.3
2016,PS4,7.23,3.1,9.2,6.84,1.9,9.5
2016,XOne,7.52,3.5,9.3,6.61,3.6,8.7
2015,PS4,7.41,3.2,9.3,6.91,1.4,9.2
2015,XOne,7.64,3.9,9.5,6.61,2.1,9.2
2014,PS4,7.58,5.3,9.7,6.81,3.7,9.1
2014,XOne,7.55,5.1,9.1,6.72,3.1,9
2013,PS4,7.5,3.8,9.1,5.56,2.6,7.9
2013,XOne,7.06,2.7,9.1,5.18,2.8,6.9
