Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
394,The Last of Us: Part II,PS4,Sony Interactive Entertainment,Naughty Dog,9.4,5.6,4,2020
470,Final Fantasy VII Remake,PS4,Square Enix,Square Enix,8.7,8.1,3.5,2020
1655,Persona 5 Royal,PS4,Atlus,Atlus,9.5,8.2,1.4,2020
2457,Nioh 2,PS4,Sony Interactive Entertainment,Team Ninja,8.5,7.8,1,2020
12,Call of Duty: Modern Warfare,PS4,Activision,Infinity Ward,8,3.3,30.13,2019
136,NBA 2K20,PS4,2K Sports,Visual Concepts,7.8,1.2,8,2019
158,FIFA 20,PS4,Electronic Arts,EA Sports,7.9,1.1,7.15,2019
343,Mortal Kombat 11,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,8.2,3.6,4.2,2019
423,Madden NFL 20,PS4,EA Sports,EA Tiburon,7.6,1.5,3.78,2019
8955,God Eater 3,PS4,Bandai Namco Entertainment,Bandai Namco Studios,7.1,7.2,0.19,2019
11161,Fate/Extella Link,PS4,Xseed Games,Marvelous,7.7,7.2,0.12,2019
13764,Broken Sword 5: The Serpent's Curse,PS4,Unbalance,Revolution Software,7.2,7.3,0.07,2019
15521,Senran Kagura Burst Re:Newal,PS4,Xseed Games,HONEY PARADE GAMES,6.5,4.1,0.04,2019
15804,The Caligula Effect: Overdose,PS4,NIS America,Historia,6.5,5.6,0.04,2019
16694,Death end re;Quest,PS4,Idea Factory,Compile Heart,7.4,7.4,0.03,2019
16822,Onimusha: Warlords,PS4,Capcom,Capcom,7.4,5.6,0.03,2019
16917,Steins;Gate Elite,PS4,Spike Chunsoft,5pb. Inc.,8.6,7.3,0.03,2019
17420,The Liar Princess and the Blind Prince,PS4,NIS America,Nippon Ichi Software,6.9,6.4,0.02,2019
54,Red Dead Redemption 2,PS4,Rockstar Games,Rockstar Games,9.8,7.9,13.94,2018
63,Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,8.7,13.2,2018
88,God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,10,11,2018
112,Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,8.3,4,9.32,2018
117,FIFA 19,PS4,Electronic Arts,EA Sports,8.3,1.7,9.15,2018
208,Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,9.7,7.4,5.77,2018
392,Monster Hunter: World,PS4,Capcom,Capcom,9.3,9,4,2018
402,Far Cry 5,PS4,Ubisoft,Ubisoft,7.9,6.8,3.95,2018
531,Detroit: Become Human,PS4,Sony Interactive Entertainment,Quantic Dream,8,8.6,3.2,2018
540,Assassin's Creed Odyssey,PS4,Ubisoft,Ubisoft Quebec,9.5,5.9,3.18,2018
720,NBA 2K19,PS4,2K Sports,Visual Concepts,8.2,2.6,2.63,2018
905,Battlefield V,PS4,Electronic Arts,EA DICE,7.3,2.1,2.22,2018
907,FIFA 19,XOne,Electronic Arts,EA Sports,8.3,2,2.22,2018
912,Madden NFL 19,PS4,EA Sports,EA Tiburon,8,2.3,2.21,2018
938,Spyro Reignited Trilogy,PS4,Activision,Toys for Bob,8.2,8.1,2.17,2018
1024,Dragon Quest XI: Echoes of an Elusive Age,PS4,Square Enix,Square Enix,9.5,8.7,2.04,2018
1040,Dragon Ball FighterZ,PS4,Namco Bandai Games,Arc System Works,8.7,8.1,2.01,2018
1162,Forza Horizon 4,XOne,Microsoft Studios,Playground Games,9.2,7.9,1.84,2018
1208,Far Cry 5,XOne,Ubisoft,Ubisoft Montreal,7.2,6.7,1.78,2018
1246,NBA 2K19,XOne,2K Sports,Visual Concepts,8.3,2.8,1.74,2018
1249,Shadow of the Tomb Raider,PS4,Square Enix,Eidos Montreal,7.5,7.3,1.74,2018
1449,Battlefield V,XOne,Electronic Arts,EA DICE,7.8,2.6,1.55,2018
1499,Madden NFL 19,XOne,EA Sports,EA Tiburon,8.1,3.3,1.51,2018
1672,Assassin's Creed Odyssey,XOne,Ubisoft,Ubisoft Quebec,8.7,5.6,1.39,2018
1770,Fallout 76,PS4,Bethesda Softworks,Bethesda Game Studios,5.1,2.5,1.32,2018
1990,Shadow of the Colossus,PS4,Sony Interactive Entertainment,Bluepoint Games,9.3,7.8,1.2,2018
2283,MLB The Show 18,PS4,Sony Interactive Entertainment,SIE San Diego Studio,8.2,6.3,1.06,2018
2510,WWE 2K19,PS4,2K Sports,Visual Concepts,7.7,5.6,0.98,2018
2535,EA Sports UFC 3,PS4,EA Sports,EA Vancouver,7.5,3.6,0.97,2018
2555,Sea of Thieves,XOne,Microsoft Studios,Rare Ltd.,6.9,7,0.96,2018
2636,Fallout 76,XOne,Bethesda Softworks,Bethesda Game Studios,5.1,2.4,0.93,2018
2651,Monster Hunter: World,XOne,Capcom,Capcom,9.4,7.2,0.93,2018
2744,Ni no Kuni II: Revenant Kingdom,PS4,Namco Bandai Games,Level 5,8.7,7.4,0.89,2018
2960,The Crew 2,PS4,Ubisoft,Ivory Tower,6.5,5,0.82,2018
3069,Shadow of the Tomb Raider,XOne,Square Enix,Eidos Montreal,8.2,7.2,0.78,2018
3343,SoulCalibur VI,PS4,Bandai Namco Games,Project Soul,8.4,6.3,0.71,2018
3597,Spyro Reignited Trilogy,XOne,Activision,Toys for Bob,8.3,6.8,0.65,2018
3615,Crash Bandicoot N. Sane Trilogy,XOne,Activision,Vicarious Visions,7.9,6.9,0.65,2018
